date,chain,protocol,symbol,asset,aToken,aToken_supply,variableDebt_supply,stableDebt_supply,price_usd,collateral_usd,debt_usd,net_usd,category,tags,asset_class,category_source,missing_price
2025-11-15,polygon,aave,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,5669771.286592512,3986209.2847669106,0.0,,,,,manual,,base,manual_dict,True
2025-11-15,polygon,aave,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,345880.6831240931,12412.64164738133,0.0,,,,,manual,,gov_token,symbol_heuristic,True
2025-11-15,polygon,aave,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x625E7708f30cA75bfd92586e17077590C60eb4cD,4978214.143716,3929898.112656,0.0,,,,,manual,,base,manual_dict,True
2025-11-15,polygon,aave,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0x078f358208685046a11C85e8ad32895DED33A249,1020.27073542,23.45053077,0.0,,,,,manual,,wrapped,manual_dict,True
2025-11-15,polygon,aave,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xe50fA9b3c56FfB159cB0FCA61F5c9D750e8128c8,15867.865061267723,5477.821977133182,0.0,,,,,manual,,wrapped,manual_dict,True
2025-11-15,polygon,aave,USDT0,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0x6ab707Aca953eDAeFBc4fD23bA73294241490620,48503491.018368,32234665.473981,0.0,,,,,manual,,base,symbol_heuristic,True
2025-11-15,polygon,aave,AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,35036.59379737121,0.0,0.0,,,,,manual,,gov_token,manual_dict,True
2025-11-15,polygon,aave,WPOL,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x6d80113e533a2C0fe82EaBD35f1875DcEA89Ea97,52335196.579908736,13229039.18494661,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,CRV,0x172370d5Cd63279eFa6d502DAB29171933a610AF,0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,54291.76539633126,6651.091076065844,0.0,,,,,manual,,gov_token,manual_dict,True
2025-11-15,polygon,aave,SUSHI,0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,0xc45A479877e1e9Dfe9FcD4056c699575a1045dAA,103258.47266056912,45347.98324736925,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,GHST,0x385Eeac5cB85A38A9a07A70c73e0a3271CfB54A7,0x8Eb270e296023E9D92081fdF967dDd7878724424,896579.5579254365,7271.611804228073,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,BAL,0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,0x8ffDf2DE812095b1D19CB146E4c004587C0A0692,14801.14704227926,6820.776001362033,0.0,,,,,manual,,gov_token,manual_dict,True
2025-11-15,polygon,aave,DPI,0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,0x724dc807b04555b71ed48a6896b6F41593b8C637,379.59558907471444,61.781236722918884,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,EURS,0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5,2025284.57,1288517.76,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,jEUR,0x4e3Decbb3645551B8A19f0eA1678079FCB33fB4c,0x6533afac2E7BCCB20dca161449A13A32D391fb00,28140.746922892842,2770.689605651803,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,EURA,0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4,0x8437d7C167dFB82ED4Cb79CD44B7a32A1dd95c77,6545.004617129496,1742.2809546794808,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0xeBe517846d0F36eCEd99C735cbF6131e1fEB775D,10650.377117847176,10.845890232060198,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,stMATIC,0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4,0xEA1132120ddcDDA2F119e99Fa7A27a0d036F7Ac9,561332.660278468,0.0,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,MaticX,0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6,0x80cA0d8C38d2e2BcbaB66aA1648Bd1C7160500FE,12112274.418255834,109018.17770629228,0.0,,,,,manual,,unclassified,none,True
2025-11-15,polygon,aave,wstETH,0x03b54A6e9a984069379fae1a4fC4dBAE93B3bCCD,0xf59036CAEBeA7dC4b86638DFA2E3C97dA9FcCd40,5132.448409846378,34.41153636772588,0.0,,,,,manual,,LST,manual_dict,True
2025-11-15,polygon,aave,USDC,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xA4D94019934D8333Ef880ABFFbF2FDd611C762BD,43077033.341172,28788058.479817,0.0,,,,,manual,,base,manual_dict,True
